Date,Total crawl requests,Total download size (Bytes),Average response time (ms)
2026-02-17,67,5880420,86
2026-02-18,2,1136,283
2026-02-19,239,3430181,364
2026-02-20,1890,15281434,309
2026-02-21,59,1894495,584
2026-02-22,107,1216142,423
2026-02-23,128,1104533,638
