Date,Not indexed,Indexed,Impressions
2026-02-17,,,0
2026-02-18,,,2
2026-02-19,,,0
2026-02-20,8884,15,9
2026-02-21,8762,138,54
2026-02-22,8762,138,123
2026-02-23,8762,138,
