Country,Clicks,Impressions,CTR,Position
United States,2,155,1.29%,14.42
India,0,5,0%,15
Canada,0,4,0%,11
Brazil,0,3,0%,9.33
Vietnam,0,2,0%,4
Mexico,0,2,0%,17
South Korea,0,2,0%,20
China,0,1,0%,1
Algeria,0,1,0%,6
Argentina,0,1,0%,7
Belarus,0,1,0%,7
Australia,0,1,0%,11
Philippines,0,1,0%,11
Pakistan,0,1,0%,13
Thailand,0,1,0%,14
Colombia,0,1,0%,20
Seychelles,0,1,0%,27
Morocco,0,1,0%,44
Nepal,0,1,0%,49
Indonesia,0,1,0%,60
Netherlands,0,1,0%,91
Italy,0,1,0%,94
