Date,Clicks,Impressions,CTR,Position
2026-02-18,0,0,,
2026-02-19,2,2,100%,1
2026-02-20,0,0,,
2026-02-21,0,9,0%,11.8
2026-02-22,0,54,0%,21
2026-02-23,0,123,0%,13.6
