confidence,city_a,city_b,city_a_slug,city_b_slug,city_a_counties,city_b_counties,county_overlap,normalized_a,normalized_b,edit_distance,blocked_pair,approved_alias_exists,suggested_action,reason
high,SAINT HENRY,ST HENRY,saint-henry,st-henry,MERCER,MERCER,yes,saint henry,saint henry,0,no,no,REVIEW,Same normalized city with county overlap.
high,SAINT MARYS,ST MARYS,saint-marys,st-marys,AUGLAIZE,AUGLAIZE,yes,saint marys,saint marys,0,no,no,REVIEW,Same normalized city with county overlap.
high,SAINT PARIS,ST. PARIS,saint-paris,st-paris,CHAMPAIGN,CHAMPAIGN,yes,saint paris,saint paris,0,no,no,REVIEW,Same normalized city with county overlap.
high,SHAKER HEIGHTS,SHAKER HTS,shaker-heights,shaker-hts,CUYAHOGA,CUYAHOGA,yes,shaker heights,shaker heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,UNIVERSITY HEIGHTS,UNIVERSITY HTS,university-heights,university-hts,CUYAHOGA,CUYAHOGA,yes,university heights,university heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,WARRENSVILLE HEIGHTS,WARRENSVILLE HTS,warrensville-heights,warrensville-hts,CUYAHOGA,CUYAHOGA,yes,warrensville heights,warrensville heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,WARRENSVILLE HEIGHTS,WARRENSVILLE HTS.,warrensville-heights,warrensville-hts,CUYAHOGA,CUYAHOGA,yes,warrensville heights,warrensville heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,WARRENSVILLE HTS,WARRENSVILLE HTS.,warrensville-hts,warrensville-hts,CUYAHOGA,CUYAHOGA,yes,warrensville heights,warrensville heights,0,no,no,REVIEW,Same normalized city with county overlap.
high,WASH C.H.,WASH. C.H.,wash-c-h,wash-c-h,FAYETTE,FAYETTE,yes,wash ch,wash ch,0,no,no,REVIEW,Same normalized city with county overlap.
high,WASHINGTON C.H.,WASHINGTON CH,washington-c-h,washington-ch,FAYETTE,FAYETTE,yes,washington ch,washington ch,0,no,no,REVIEW,Same normalized city with county overlap.
medium,AKRN,AKRON,akrn,akron,SUMMIT,SUMMIT,yes,akrn,akron,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,AUSTINTOWN,AUSTINTWON,austintown,austintwon,MAHONING,MAHONING,yes,austintown,austintwon,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,BEAVERCREEK,BEAVERVREEK,beavercreek,beavervreek,GREENE,GREENE,yes,beavercreek,beavervreek,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,BROOK PARK,BROOKPARK,brook-park,brookpark,CUYAHOGA,CUYAHOGA,yes,brook park,brookpark,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CANAL WINCHESTE,CANAL WINCHESTER,canal-wincheste,canal-winchester,FRANKLIN,FRANKLIN,yes,canal wincheste,canal winchester,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
