Date,Clicks,Impressions,CTR,Position
2026-02-22,0,54,0%,21
2026-02-23,0,123,0%,13.6
2026-02-24,3,142,2.11%,12.3
2026-02-25,4,225,1.78%,13.1
2026-02-26,11,1140,0.96%,10.7
2026-02-27,17,2223,0.76%,11.5
2026-02-28,17,1246,1.36%,14.4
